318,"Shawshank Redemption, The (1994)",Crime|Drama,3.0
333,"Tommy Boy (1995)",Comedy,4.0
1704,"Good Will Hunting (1997)",Drama|Romance,4.5
3578,"Gladiator (2000)",Action|Adventure|Drama,4.0
6874,"Kill Bill: Vol. 1 (2003)",Action|Crime|Thriller,4.0
8798,"Collateral (2004)",Action|Crime|Drama|Thriller,3.5
46970,"Talladega Nights: The Ballad of Ricky Bobby (2006)",Action|Comedy,4.0
48516,"Departed, The (2006)",Crime|Drama|Thriller,4.0
58559,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX,4.5
60756,"Step Brothers (2008)",Comedy,5.0
68157,"Inglourious Basterds (2009)",Action|Drama|War,4.5
71535,"Zombieland (2009)",Action|Comedy|Horror,3.0
74458,"Shutter Island (2010)",Drama|Mystery|Thriller,4.0
77455,"Exit Through the Gift Shop (2010)",Comedy|Documentary,3.0
79132,"Inception (2010)",Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX,4.0
80489,"Town, The (2010)",Crime|Drama|Thriller,4.5
80906,"Inside Job (2010)",Documentary,5.0
86345,"Louis C.K.: Hilarious (2010)",Comedy,4.0
89774,"Warrior (2011)",Drama,5.0
91529,"Dark Knight Rises, The (2012)",Action|Adventure|Crime|IMAX,3.5
91658,"Girl with the Dragon Tattoo, The (2011)",Drama|Thriller,2.5
99114,"Django Unchained (2012)",Action|Drama|Western,3.5
106782,"Wolf of Wall Street, The (2013)",Comedy|Crime|Drama,5.0
109487,"Interstellar (2014)",Sci-Fi|IMAX,3.0
112552,"Whiplash (2014)",Drama,4.0
114060,"The Drop (2014)",Crime|Drama|Thriller,2.0
115713,"Ex Machina (2015)",Drama|Sci-Fi|Thriller,3.5
122882,"Mad Max: Fury Road (2015)",Action|Adventure|Sci-Fi|Thriller,5.0
131724,"The Jinx: The Life and Deaths of Robert Durst (2015)",Documentary,5.0
319,"Shallow Grave (1994)",Comedy|Drama|Thriller,6.769157088122605
3567,"Bossa Nova (2000)",Comedy|Drama|Romance,6.726379310344827
2700,"South Park: Bigger, Longer and Uncut (1999)",Animation|Comedy|Musical,6.699712643678161
555,"True Romance (1993)",Crime|Thriller,6.641379310344828
1732,"Big Lebowski, The (1998)",Comedy|Crime,6.357467369900508
913,"Maltese Falcon, The (1941)",Film-Noir|Mystery,6.252742946708464
5060,"M*A*S*H (a.k.a. MASH) (1970)",Comedy|Drama|War,6.252742946708464
55276,"Michael Clayton (2007)",Drama|Thriller,6.252742946708464
30803,"3-Iron (Bin-jip) (2004)",Drama|Romance,6.225754310344827
27611,"Battlestar Galactica (2003)",Drama|Sci-Fi|War,6.223522167487685
